"Date","ICU","Normal"
"14.10.2020",3,6
"15.10.2020",3,8
"16.10.2020",3,8
"17.10.2020",3,13
"18.10.2020",2,14
"19.10.2020",3,15
"20.10.2020",3,12
"21.10.2020",3,9
"22.10.2020",5,14
"23.10.2020",6,15
"24.10.2020",5,17
"25.10.2020",6,20
"26.10.2020",7,21
"27.10.2020",9,20
"28.10.2020",9,17
"29.10.2020",9,17
"30.10.2020",10,18
"31.10.2020",10,18
"01.11.2020",10,21
"02.11.2020",14,18
"03.11.2020",14,16
"04.11.2020",13,22
"05.11.2020",14,22
"06.11.2020",14,22
"07.11.2020",16,22
"08.11.2020",19,24
"09.11.2020",18,24
"10.11.2020",18,21
"11.11.2020",16,22
"12.11.2020",19,29
"13.11.2020",19,20
"14.11.2020",18,29
"15.11.2020",18,27
"16.11.2020",16,31
"17.11.2020",17,29
"18.11.2020",16,23
"19.11.2020",16,28
"20.11.2020",18,29
"21.11.2020",18,26
"22.11.2020",21,27
"23.11.2020",21,26
"24.11.2020",20,26
"25.11.2020",17,31
"26.11.2020",15,31
"27.11.2020",17,30
"28.11.2020",17,29
"29.11.2020",16,29
"30.11.2020",17,33
"01.12.2020",14,34
"02.12.2020",17,32
"03.12.2020",16,30
"04.12.2020",17,29
"05.12.2020",18,29
"06.12.2020",18,26
"07.12.2020",19,28
"08.12.2020",22,29
"09.12.2020",22,29
"10.12.2020",22,33
"11.12.2020",25,30
"12.12.2020",23,27
"13.12.2020",23,29
"14.12.2020",25,32
"15.12.2020",21,39
"16.12.2020",24,44
"17.12.2020",24,46
"18.12.2020",24,51
"19.12.2020",26,54
"20.12.2020",27,54
"21.12.2020",27,52
"22.12.2020",28,56
"23.12.2020",26,55
"24.12.2020",27,53
"25.12.2020",28,49
"26.12.2020",25,49
"27.12.2020",24,54
"28.12.2020",25,49
"29.12.2020",27,53
"30.12.2020",28,47
"31.12.2020",25,48
"01.01.2021",25,48
"02.01.2021",27,49
"03.01.2021",26,52
"04.01.2021",24,47
"05.01.2021",26,48
"06.01.2021",29,43
"07.01.2021",28,42
"08.01.2021",25,39
"09.01.2021",27,36
"10.01.2021",27,33
"11.01.2021",24,38
"12.01.2021",24,32
"13.01.2021",23,25
"14.01.2021",23,22
"15.01.2021",21,24
"16.01.2021",22,26
"17.01.2021",23,24
"18.01.2021",22,27
"19.01.2021",19,32
"20.01.2021",19,29
"21.01.2021",17,27
"22.01.2021",20,32
"23.01.2021",20,33
"24.01.2021",19,31
"25.01.2021",18,30
"26.01.2021",18,27
"27.01.2021",17,27
"28.01.2021",19,27
"29.01.2021",16,29
"30.01.2021",13,27
"31.01.2021",14,30
"01.02.2021",12,31
"02.02.2021",12,34
"03.02.2021",12,23
"04.02.2021",12,25
"05.02.2021",13,26
"06.02.2021",13,25
"07.02.2021",13,24
"08.02.2021",12,26
"09.02.2021",10,26
"10.02.2021",9,23
"11.02.2021",10,17
"12.02.2021",9,19
"13.02.2021",8,19
"14.02.2021",7,20
"15.02.2021",9,20
"16.02.2021",9,17
"17.02.2021",9,17
"18.02.2021",11,14
"19.02.2021",12,7
"20.02.2021",10,9
"21.02.2021",10,10
"22.02.2021",9,11
"23.02.2021",8,12
"24.02.2021",7,12
"25.02.2021",6,8
"26.02.2021",7,10
"27.02.2021",7,8
"28.02.2021",7,8
"01.03.2021",7,9
"02.03.2021",6,9
"03.03.2021",5,9
"04.03.2021",8,8
"05.03.2021",8,9
"06.03.2021",8,10
"07.03.2021",8,12
"08.03.2021",8,11
"09.03.2021",8,13
"10.03.2021",9,8
"11.03.2021",10,8
"12.03.2021",9,7
"13.03.2021",9,7
"14.03.2021",8,9
"15.03.2021",8,11
"16.03.2021",8,12
"17.03.2021",10,12
"18.03.2021",9,11
"19.03.2021",7,12
"20.03.2021",8,12
"21.03.2021",8,13
"22.03.2021",8,14
"23.03.2021",9,17
"24.03.2021",9,20
"25.03.2021",8,20
"26.03.2021",10,21
"27.03.2021",7,20
"28.03.2021",9,21
"29.03.2021",10,21
"30.03.2021",10,24
"31.03.2021",9,29
"01.04.2021",9,25
"02.04.2021",9,24
"03.04.2021",10,23
"04.04.2021",9,24
"05.04.2021",11,29
"06.04.2021",13,28
"07.04.2021",13,27
"08.04.2021",13,27
"09.04.2021",13,25
"10.04.2021",14,32
"11.04.2021",16,34
"12.04.2021",15,31
"13.04.2021",15,30
"14.04.2021",15,27
"15.04.2021",14,27
"16.04.2021",13,30
"17.04.2021",14,31
"18.04.2021",14,32
"19.04.2021",13,33
"20.04.2021",12,31
"21.04.2021",12,29
"22.04.2021",12,31
"23.04.2021",10,29
"24.04.2021",11,27
"25.04.2021",11,27
"26.04.2021",14,28
"27.04.2021",12,27
"28.04.2021",12,26
"29.04.2021",13,25
"30.04.2021",16,18
"01.05.2021",18,20
"02.05.2021",19,17
"03.05.2021",19,15
"04.05.2021",22,18
"05.05.2021",20,17
"06.05.2021",19,13
"07.05.2021",20,13
"08.05.2021",20,14
"09.05.2021",18,15
"10.05.2021",18,16
"11.05.2021",19,19
"12.05.2021",19,20
"13.05.2021",19,14
"14.05.2021",18,15
"15.05.2021",17,15
"16.05.2021",15,15
"17.05.2021",17,15
"18.05.2021",16,16
"19.05.2021",20,14
"20.05.2021",20,10
"21.05.2021",20,9
"22.05.2021",18,9
"23.05.2021",19,7
"24.05.2021",19,7
"25.05.2021",20,9
"26.05.2021",21,8
"27.05.2021",17,7
"28.05.2021",16,11
"29.05.2021",16,12
"30.05.2021",16,11
"31.05.2021",15,12
"01.06.2021",12,15
"02.06.2021",12,13
"03.06.2021",8,11
"04.06.2021",7,12
"05.06.2021",7,6
"06.06.2021",4,7
"07.06.2021",6,7
"08.06.2021",8,9
"09.06.2021",5,9
"10.06.2021",5,8
"11.06.2021",5,5
"12.06.2021",4,5
"13.06.2021",4,6
"14.06.2021",4,3
"15.06.2021",4,4
"16.06.2021",4,5
"17.06.2021",4,5
"18.06.2021",4,5
"19.06.2021",2,7
"20.06.2021",1,7
"21.06.2021",1,7
"22.06.2021",1,7
"23.06.2021",1,7
"24.06.2021",2,6
"25.06.2021",2,6
"26.06.2021",2,5
"27.06.2021",2,4
"28.06.2021",2,4
"29.06.2021",2,4
"30.06.2021",2,5
"01.07.2021",1,5
"02.07.2021",0,5
"03.07.2021",0,4
"04.07.2021",0,3
"05.07.2021",0,3
"06.07.2021",0,4
"07.07.2021",0,5
"08.07.2021",0,3
"09.07.2021",0,2
"10.07.2021",0,4
"11.07.2021",0,5
"12.07.2021",0,3
"13.07.2021",0,3
"14.07.2021",0,3
"15.07.2021",0,3
"16.07.2021",0,2
"17.07.2021",0,2
"18.07.2021",0,2
"19.07.2021",0,2
"20.07.2021",0,2
"21.07.2021",0,2
"22.07.2021",0,2
"23.07.2021",0,4
"24.07.2021",1,2
"25.07.2021",1,3
"26.07.2021",1,5
"27.07.2021",2,4
"28.07.2021",2,5
"29.07.2021",2,5
"30.07.2021",3,3
"31.07.2021",3,1
"01.08.2021",4,1
"02.08.2021",4,2
"03.08.2021",4,2
"04.08.2021",4,2
"05.08.2021",3,1
"06.08.2021",3,2
"07.08.2021",4,4
"08.08.2021",4,3
"09.08.2021",4,5
"10.08.2021",3,5
"11.08.2021",2,6
"12.08.2021",2,6
"13.08.2021",2,7
"14.08.2021",2,5
"15.08.2021",2,7
"16.08.2021",3,9
"17.08.2021",3,10
"18.08.2021",3,10
"19.08.2021",3,7
"20.08.2021",5,7
"21.08.2021",3,10
"22.08.2021",5,7
"23.08.2021",7,9
"24.08.2021",6,11
"25.08.2021",5,8
"26.08.2021",5,11
"27.08.2021",5,11
"28.08.2021",5,9
"29.08.2021",5,7
"30.08.2021",6,10
"31.08.2021",5,12
"01.09.2021",6,12
"02.09.2021",5,12
"03.09.2021",4,14
"04.09.2021",4,14
"05.09.2021",4,11
"06.09.2021",6,12
"07.09.2021",6,14
"08.09.2021",6,15
"09.09.2021",6,14
"10.09.2021",6,15
"11.09.2021",7,15
"12.09.2021",9,16
"13.09.2021",8,16
"14.09.2021",8,15
"15.09.2021",10,14
"16.09.2021",9,17
"17.09.2021",7,15
"18.09.2021",7,13
"19.09.2021",8,13
"20.09.2021",8,16
"21.09.2021",7,14
"22.09.2021",7,11
"23.09.2021",7,11
"24.09.2021",6,9
"25.09.2021",7,7
"26.09.2021",6,9
"27.09.2021",8,9
"28.09.2021",6,7
"29.09.2021",6,8
"30.09.2021",5,11
"01.10.2021",5,12
"02.10.2021",5,12
"03.10.2021",5,10
"04.10.2021",4,9
"05.10.2021",4,7
"06.10.2021",4,7
"07.10.2021",4,7
"08.10.2021",6,7
"09.10.2021",5,7
"10.10.2021",4,9
"11.10.2021",5,11
"12.10.2021",5,13
"13.10.2021",5,11
"14.10.2021",3,7
"15.10.2021",3,10
"16.10.2021",4,8
"17.10.2021",6,6
"18.10.2021",6,7
"19.10.2021",6,8
"20.10.2021",8,6
"21.10.2021",8,8
"22.10.2021",8,10
"23.10.2021",9,12
"24.10.2021",8,11
"25.10.2021",8,14
"26.10.2021",8,11
"27.10.2021",8,11
"28.10.2021",8,15
"29.10.2021",8,16
"30.10.2021",7,21
"31.10.2021",10,19
"01.11.2021",9,17
"02.11.2021",9,18
"03.11.2021",9,20
"04.11.2021",10,22
"05.11.2021",10,19
"06.11.2021",7,15
"07.11.2021",7,18
"08.11.2021",7,21
"09.11.2021",7,20
"10.11.2021",8,14
"11.11.2021",7,16
"12.11.2021",9,16
"13.11.2021",8,18
"14.11.2021",9,19
"15.11.2021",7,21
"16.11.2021",7,17
"17.11.2021",10,16
"18.11.2021",10,17
"19.11.2021",10,19
"20.11.2021",12,26
"21.11.2021",11,27
"22.11.2021",11,23
"23.11.2021",13,23
"24.11.2021",13,29
"25.11.2021",15,31
"26.11.2021",23,30
"27.11.2021",21,25
"28.11.2021",21,25
"29.11.2021",20,30
"30.11.2021",20,26
"01.12.2021",22,28
"02.12.2021",20,28
"03.12.2021",19,26
"04.12.2021",21,29
"05.12.2021",23,28
"06.12.2021",25,28
"07.12.2021",21,37
"08.12.2021",24,40
"09.12.2021",25,35
"10.12.2021",25,34
"11.12.2021",25,35
"12.12.2021",27,38
"13.12.2021",24,46
"14.12.2021",24,41
"15.12.2021",25,36
"16.12.2021",26,35
"17.12.2021",26,26
"18.12.2021",27,21
"19.12.2021",27,20
"20.12.2021",25,20
"21.12.2021",26,20
"22.12.2021",26,22
"23.12.2021",25,16
"24.12.2021",23,16
"25.12.2021",27,15
"26.12.2021",25,18
"27.12.2021",25,18
"28.12.2021",25,17
"29.12.2021",25,19
"30.12.2021",26,21
"31.12.2021",23,19
"01.01.2022",22,20
"02.01.2022",23,18
"03.01.2022",25,18
"04.01.2022",22,21
"05.01.2022",19,22
"06.01.2022",21,21
"07.01.2022",19,17
"08.01.2022",18,20
"09.01.2022",14,18
"10.01.2022",15,19
"11.01.2022",15,17
"12.01.2022",15,11
"13.01.2022",14,16
"14.01.2022",14,16
"15.01.2022",13,15
"16.01.2022",11,17
"17.01.2022",11,16
"18.01.2022",11,12
"19.01.2022",10,15
"20.01.2022",9,16
"21.01.2022",9,18
"22.01.2022",9,18
"23.01.2022",9,15
"24.01.2022",9,16
"25.01.2022",13,16
"26.01.2022",12,13
"27.01.2022",14,18
"28.01.2022",13,23
"29.01.2022",10,28
"30.01.2022",11,26
"31.01.2022",11,32
